contam_rate,growth_rate,rep,K_mu_true,G_true,F_true,K_mu_estimated,K_sigma_estimated,F_estimated,G_estimated,delta_D,K_mu_err,G_err
0.3,0.05,1,0.052000000000000046,0.0034350877192982354,0.0,0.052000000000000046,0.0027964912280701894,0.0,0.0034350877192982354,0.006231578947368425,0.0,0.0
0.3,0.05,2,0.05499999999999994,0.0007983918128654857,0.0,0.05499999999999994,0.008405847953216382,0.0,0.0007983918128654857,0.009204239766081868,0.0,0.0
0.3,0.15,0,0.02200000000000024,0.021796725146198827,0.0,0.02200000000000024,0.0024753216374268985,0.0018481035087719296,0.019948621637426896,0.024272046783625725,0.0,0.001848103508771931
0.3,0.15,1,0.015833333333333477,0.026592397660818713,0.0,0.015833333333333477,0.0013369883040935653,0.002718236842105263,0.02387416081871345,0.027929385964912276,0.0,0.002718236842105263
0.3,0.15,2,0.016000000000000014,0.0315764619883041,0.0,0.016000000000000014,0.001309941520467837,0.002629497807017544,0.028946964181286554,0.032886403508771936,0.0,0.0026294978070175445
0.3,0.3,0,0.003166666666666873,0.0158119298245614,0.0,0.003166666666666873,-0.00010716374269005915,0.006455202631578947,0.009356727192982453,0.01570476608187134,0.0,0.006455202631578947
0.3,0.3,1,0.00216666666666665,0.02758230994152047,0.0,0.00216666666666665,2.9853801169590428e-05,0.008345359649122806,0.019236950292397664,0.027612163742690057,0.0,0.008345359649122804
0.3,0.3,2,0.004666666666666708,0.038379181286549706,0.0,0.004666666666666708,0.00015181286549707633,0.010465926315789473,0.027913254970760235,0.038530994152046784,0.0,0.010465926315789471
0.5,0.05,0,0.12016666666666653,0.0,0.0,0.12016666666666653,0.01577845029239766,0.0005521030701754386,0.0,0.013767222222222222,0.0,0.0
0.5,0.05,1,0.09116666666666673,0.015725058479532164,0.0,0.09116666666666673,-0.0004100877192982494,0.000816059649122807,0.014908998830409357,0.015314970760233915,0.0,0.0008160596491228068
0.5,0.05,2,0.08283333333333331,0.0,0.0,0.08283333333333331,0.008342309941520461,0.0,0.0,0.00720383040935673,0.0,0.0
0.5,0.15,0,0.033666666666666734,0.041210438596491226,0.0,0.033666666666666734,0.002050292397660816,0.004080298245614035,0.037130140350877194,0.04326073099415204,0.0,0.004080298245614032
0.5,0.15,1,0.03533333333333355,0.017106169590643282,0.0,0.03533333333333355,0.005797894736842101,0.0029464934210526317,0.01415967616959065,0.02290406432748538,0.0,0.0029464934210526317
0.5,0.15,2,0.028000000000000136,0.03055236842105264,0.0,0.028000000000000136,0.0019017543859649166,0.0060927850877193,0.02445958333333334,0.03245412280701756,0.0,0.0060927850877193004
0.5,0.3,0,0.0018333333333334645,0.03019488304093567,0.0,0.0018333333333334645,-4.122807017544058e-06,0.008653033333333332,0.02154184970760234,0.030190760233918125,0.0,0.00865303333333333
0.5,0.3,1,0.006166666666666543,0.051777865497076025,0.0,0.006166666666666543,0.00016950292397660769,0.015628587719298245,0.03614927777777778,0.05194736842105264,0.0,0.015628587719298245
0.5,0.3,2,0.0043333333333333,0.04516125730994153,0.0,0.0043333333333333,1.2280701754385976e-05,0.011648959210526317,0.03351229809941521,0.045173538011695914,0.0,0.011648959210526319
